table,domain,columns,foreign_keys_out,references_in,sample_columns
agent_presentation_profiles,Agent Personhood,14,2,0,"presentation_profile_id, agent_id, version_id, voice_tone, tone, idiolect"
agent_private_interiors,Agent Personhood,15,2,0,"private_interior_id, agent_id, version_id, private_narration, unresolved_tensions, hopes"
agent_relationship_edges,Agent Personhood,25,3,1,"relationship_id, agent_id, version_id, related_entity_id, related_agent_id, relationship_type"
agent_relationships,Agent Personhood,9,2,0,"id, agent_id, related_agent_id, relationship_type, trust_score, familiarity_score"
agent_skill_profiles,Agent Personhood,12,2,0,"skill_profile_id, agent_id, skill_slug, domain, proficiency, evidence_asset_id"
agent_skills,Agent Personhood,9,3,0,"id, agent_id, skill_slug, proficiency, evidence_asset_id, last_updated_by_mutation_id"
agent_versions,Agent Trainer,11,2,16,"version_id, agent_id, parent_version_id, source_run_id, semantic_version, canonical_spec"
agents,Agent Personhood,12,1,28,"agent_id, slug, title, domain, owner_user_id, status"
annotation_concepts,Knowledge & Corpus,2,2,0,"annotation_id, concept_id"
app_users,Identity & Accounts,2,0,5,"id, created_at"
approvals,Agent Trainer,7,2,0,"approval_id, run_id, version_id, approver_user_id, decision, notes"
billy_sessions,Billy Runtime,8,1,0,"id, user_id, message, response, provider, mode"
bucket_drops,Billy Runtime,6,1,0,"id, user_id, content, raw_text, capture_context, created_at"
collaborative_memory_records,Billy Runtime,16,3,0,"collaborative_memory_id, collaborative_space_id, source_memory_id, created_by_agent_id, memory_kind, title"
collaborative_space_members,Billy Runtime,4,2,0,"collaborative_space_id, agent_id, member_role, created_at"
collaborative_spaces,Billy Runtime,10,0,3,"collaborative_space_id, slug, title, description, mission_context, ownership_rule"
concepts,Knowledge & Corpus,5,0,2,"concept_id, tenant_id, name, canonical, created_at"
consciousness_profiles,Billy Runtime,5,1,0,"id, user_id, profile, created_at, updated_at"
deployment_artifacts,Agent Trainer,6,1,0,"artifact_id, version_id, artifact_type, storage_path, checksum, created_at"
document_concepts,Knowledge & Corpus,3,2,0,"document_id, concept_id, weight"
documents,Knowledge & Corpus,15,1,4,"document_id, run_id, tenant_id, path, filename, hash"
embeddings,Knowledge & Corpus,6,2,0,"id, document_id, model, embedding, created_at, run_id"
embodiment_mutations,Agent Personhood,15,4,1,"id, agent_id, source_asset_id, interpretation_id, mutation_type, target_path"
eval_results,Agent Trainer,12,6,0,"eval_result_id, run_id, candidate_version_id, scenario_id, rubric_id, judge_provider_id"
eval_rubrics,Agent Trainer,6,0,1,"rubric_id, slug, title, dimensions, pass_threshold, created_at"
founder_context,Billy Runtime,10,0,0,"id, user_id, plk_snapshot, current_state, mode_preference, last_session_at"
gate_artifacts,GATE Commerce,10,1,0,"id, build_job_id, artifact_type, storage_bucket, storage_path, signed_url_expires_at"
gate_build_jobs,GATE Commerce,11,2,1,"id, order_id, package_draft_id, build_version, status, started_at"
gate_buyers,GATE Commerce,4,0,2,"id, email, company_name, created_at"
gate_order_items,GATE Commerce,8,1,0,"id, order_id, item_type, item_ref, label, quantity"
gate_orders,GATE Commerce,17,2,3,"id, buyer_id, package_draft_id, customer_email, customer_name, product_name"
gate_package_drafts,GATE Commerce,24,1,3,"id, buyer_id, buyer_email, company_name, use_case_slug, tier"
gate_support_requests,GATE Commerce,8,2,0,"id, package_draft_id, order_id, request_type, summary, detail"
identity_contradictions,Identity Review,11,1,0,"contradiction_id, agent_id, target_table, target_id, conflict_summary, prior_state"
identity_evidence,Identity Review,11,2,1,"evidence_id, agent_id, source_asset_id, source_type, source_actor_id, source_session_id"
identity_evidence_links,Identity Review,5,1,0,"evidence_link_id, evidence_id, target_table, target_id, created_at"
identity_mutation_proposals,Identity Review,22,3,2,"mutation_id, agent_id, proposed_by_user_id, proposed_by_agent_id, source_asset_id, mutation_type"
identity_review_events,Identity Review,6,1,0,"review_event_id, mutation_id, reviewer_user_id, decision, notes, created_at"
identity_rollback_events,Identity Review,6,1,0,"rollback_event_id, mutation_id, rolled_back_by, reason, rollback_payload, created_at"
knowledge_asset_chunks,Agent Personhood,8,1,0,"id, asset_id, chunk_index, content, embedding, token_count"
knowledge_asset_tags,Agent Personhood,3,2,0,"asset_id, tag_id, created_at"
knowledge_assets,Agent Personhood,14,0,12,"id, title, asset_type, storage_path, raw_text, checksum"
knowledge_fragments,Knowledge & Corpus,11,0,0,"id, content, content_hash, embedding, source_file, document_type"
knowledge_interpretations,Agent Personhood,8,3,1,"id, asset_id, agent_id, classification, extracted_payload, confidence"
knowledge_tags,Knowledge & Corpus,3,0,1,"id, label, created_at"
loom_annotations,Knowledge & Corpus,5,1,1,"annotation_id, run_id, type, content, created_at"
memory_entries,Billy Runtime,18,0,0,"id, user_id, scope, kind, title, summary"
model_providers,Agent Trainer,8,0,3,"provider_id, slug, kind, base_url, secret_ref, local_first"
models,Agent Trainer,14,1,2,"model_id, provider_id, slug, api_name, modality, supports_structured"
musical_dna_analyses,Billy Runtime,7,1,0,"id, user_id, song_title, artist, analysis, empowerment_score"
ops_workbook_items,Operations & Admin,16,0,0,"id, sheet_name, row_key, label, category, status"
ops_workbook_sync_runs,Operations & Admin,8,0,0,"id, triggered_by, source_file, rows_upserted, rows_skipped, errors"
processing_runs,Knowledge & Corpus,10,0,4,"run_id, tenant_id, status, model, corpus_root, documents_count"
scenario_sets,Agent Trainer,8,0,1,"scenario_set_id, slug, title, domain, version, locked"
scenarios,Agent Trainer,10,1,1,"scenario_id, scenario_set_id, title, difficulty, prompt_input, expected_traits"
skill_fragments,Agent Personhood,13,1,0,"id, document_id, content, content_hash, embedding, source_file"
skills,Agent Personhood,7,0,0,"id, name, description, content, tags, created_at"
summaries,Knowledge & Corpus,6,2,0,"summary_id, run_id, document_id, level, content, created_at"
trainer_experiment_sources,Agent Trainer,7,1,0,"id, experiment_id, source_type, source_id, source_path, notes"
trainer_experiments,Agent Trainer,20,0,5,"id, slug, title, purpose, domain, embodiment_profile_slug"
trainer_jobs,Agent Trainer,7,1,0,"job_id, run_id, status, attempts, lease_expires_at, last_error"
trainer_packaging_candidates,Agent Trainer,13,1,0,"id, experiment_id, package_label, package_description, included_files, included_scenarios"
trainer_policy_flags,Agent Trainer,8,1,0,"id, experiment_id, flag, severity, set_by, notes"
trainer_review_decisions,Agent Trainer,12,1,0,"id, experiment_id, run_id, version_id, decision, reviewer"
training_runs,Agent Trainer,14,3,5,"run_id, agent_id, baseline_version_id, requested_by, approver_user_id, status"
training_steps,Agent Trainer,13,3,0,"step_id, run_id, cycle_no, stage, provider_id, model_id"
tribunal_events,Tribunal,7,0,1,"id, question, candidate_answers, winning_answer_id, verdict_summary, triggering_agent"
tribunal_evidence,Tribunal,7,1,0,"id, tribunal_event_id, document_id, fragment_id, weight, comment"
tribunal_sessions,Tribunal,8,1,0,"id, user_id, question, participants, provider, response"
users,Identity & Accounts,12,0,0,"id, email, tier, stripe_customer_id, stripe_subscription_id, subscription_status"
