package,relative_path,sha256,size_bytes,modified_utc
GestaltView_#3_of_#3_12_29_25,GestaltView-Quick-Reference-Guide.md,afdfceac87b4d0fdbe4876465b979175af0764b816101fba4af99ef7cb2e49b4,18126,2025-12-29T04:28:00+00:00
GestaltView_#3_of_#3_12_29_25,ADHD-Decision-Tree-Emergency.md,0a87ba9e334d115fc477170ac7fd2065d4fb9f47b8ce19bcc8a4adcd4b5c31b6,8011,2025-12-29T04:28:00+00:00
GestaltView_#3_of_#3_12_29_25,gestaltview_timeline.png,bd7470c44710766ed89dbbaa30bd2a3f11154f077a0eb5ab1f74accae1a73796,532088,2025-12-29T04:28:00+00:00
GestaltView_#3_of_#3_12_29_25,generated_image.png,d732798410fab348e8eb2de7ba3c66ebdda0201a8f38b611752b0949028eea96,973556,2025-12-29T04:28:00+00:00
GestaltView_#3_of_#3_12_29_25,QUICK-REFERENCE-MATRIX.md,cd91e66657bd2b28384f60341406845c4de5000d282f1a9cbd4df51de63ebb83,15267,2025-12-29T04:28:00+00:00
GestaltView_#3_of_#3_12_29_25,GestaltView-Complete-Report-12-28-25.md,8694799c34d9102756cf695dda65f51d5e699038e7f7e6c238d7633933a7b8c8,19504,2025-12-29T04:28:00+00:00
GestaltView_#3_of_#3_12_29_25,GestaltView-Complete-Forensic-Record.md,13ee48f370c70684ec103c4539bf6cc669fcafca7037c2defa3dd128ccf4c609,44072,2025-12-29T04:28:00+00:00
GestaltView_#3_of_#3_12_29_25,GestaltView-90-Day-Action-Plan.csv,d68bea6f56a1155f484cff8a891f015f797b6df16e03c09e9e3c64d34b223c0f,2867,2025-12-29T04:28:00+00:00
GestaltView_#3_of_#3_12_29_25,MASTER-OUTREACH-SUITE.md,a8b10a8b8f7a09c310735459c9368555ccfa49f908ea2b62e0436965c9c13010,15078,2025-12-29T04:28:02+00:00
GestaltView_#3_of_#3_12_29_25,gestaltview_moats.png,3e624461f892b31c340a44d47d8a5b1611751e9df52272665adf2a609d75fb8a,416766,2025-12-29T04:28:02+00:00
GestaltView_#3_of_#3_12_29_25,GestaltView_Metrics_Summary.txt,373b461793afaedbb4c592338619f9958523933fc2a16315a6e7887c711bd24c,5099,2025-12-29T04:28:02+00:00
GestaltView_#3_of_#3_12_29_25,gestaltview_roadmap.png,d4f0e0468eeae7d6841a0edfedf632223681d3d58e51d3995857b346deccb700,314911,2025-12-29T04:28:02+00:00
GestaltView_#3_of_#3_12_29_25,INVESTOR-DUE-DILIGENCE.md,2189dc21b84db60778e3851576ac79776a7ed392a74066b945c6fbc76cfdf572,13702,2025-12-29T04:28:02+00:00
GestaltView_#3_of_#3_12_29_25,GestaltView_Master_Timeline_2025.json,cc8770b8b3ff11759f4165e65bfd1c8a52cb8b23baadf9b46760c88ad0eed766,14901,2025-12-29T04:28:02+00:00
GestaltView_#3_of_#3_12_29_25,STEWARDSHIP-MANIFESTO.md,64f94bd3afc5c7e0c2b1b9dc68fd27eebfb36c6feea1e079f28c8dc875fca2ab,13291,2025-12-29T04:28:02+00:00
GestaltView_#3_of_#3_12_29_25,GestaltView Corpus/GestaltView Corpus #5.pdf,a0db4069e859c5c334b684b02f428878eb1c92f3cc216a0aa423289b15fbe133,20266702,2025-12-29T04:28:02+00:00
GestaltView_#3_of_#3_12_29_25,GestaltView Corpus/GestaltView Corpus #2.pdf,38d73442be0956c6443b0bce966284bd23cfa787d33c3f23235b71cfe2cf530f,18611827,2025-12-29T04:28:02+00:00
GestaltView_#3_of_#3_12_29_25,GestaltView Corpus/GestaltView Corpus #3.pdf,75a7155a4e84ce329da22346a4cb27ddede38e00307b042eb51fdd5d854377b4,24988906,2025-12-29T04:28:04+00:00
GestaltView_#3_of_#3_12_29_25,GestaltView Corpus/GestaltView Corpus #4.pdf,7110bae2448352c4ebb114b8aa54fccbdade6d138f156899d0ebd24ae195c470,21613565,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,GestaltView Corpus/Merged_Markdowns_12_28_25.txt,5424b1215995fae4abdbdf7092360719793b0c51e51748dee5c3c2bdbe878b53,3956217,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,GestaltView Corpus/GestaltView Corpus #1.pdf,4bed0b6f4142f6b3668f58310bda97b954e2ed5f0aa6cee87901212cf9cdf970,1486641,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,transcripts/Demo_Reel_Transcript.txt,8c8037c648ba68749a7b1f172f9a6e92af2d23556117d64686a59b6cf32523b0,47660,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,transcripts/founders_core.md.txt,7ade6caef21e6ec939fcd01de6a89d0e77af9db9e1445ddf69f28d7cf472842a,29132,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,transcripts/Inside The Mind Of Keith Soyka 7_6_25.txt,6c820056a4d2a6cfabaef487024229fab66ede186af095a335a43b60283ed614,212428,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,transcripts/Keith-Soyka-4am-Ramblings-9-19-25(transcript).md.txt,8fcb6927bb1d6b5568b8aea7ccc47a6a038026079e0ab1ae010be5e886886a38,90868,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,transcripts/Complete GestaltView User Profile_ Keith Soyka.txt,ba3de51864710aaf209589be1f43e40863195b00fe844ee892e86c809a0a820f,538609,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,transcripts/Oct-22-02-06-AM-(Transcript About Timeline).pdf,dae243012b3b3d1be3aa343e1c693acc1633393a00bfc8ec8824c4fa99f51046,182042,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,transcripts/AI-Powered Self-Discovery and Cognitive Alignment-Copyright Notice-© 2025 Keith Soyka  (2).txt,6e5d212ddb7e24f4660ff1a61eeaad1fa923e9ee838da25266ee81057c046fd9,87900,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,"transcripts/Oct 22, 02_06 AM (Transcript About Timeline).md.txt",c8aa518c12e7179227c8a00f7f6183d6f2a719a0f66a0ad53a11a342e78be73a,11849,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,transcripts/GestaltView Genesis Protocol Layer.txt,f6d06d99b1cb9dbc10f7cb0b0e7d4e4cce5949ee4644eb9108956b42ad3dc802,423946,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,transcripts/9_18_25_Keith_Soyka_Transcript.md.txt,7ff8b0d933a8ef070e97c310c46768a3dcc55488ceb7eb4ec1105fab8899e3cd,101217,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,transcripts/Keith_Soyka_And_The_Genesis_Of_GestaltView(transcript).txt,a7f369f11c2f3339a9d5ce6fa1027cb5cba0f2bd094b2a2324e2028cf972e848,374009,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,"transcripts/The Why, The What, The How, The Where, and The When of Me and GestaltView-©️ Keith Soyka 2025 (1).txt",bdd0d85cbc0797f4ee75344df232d12f0a135efb87f0c22687946cd2fe956436,139498,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,transcripts/Oct-22-02-06-AM-(Transcript About Timeline).json.txt,f39248e021011a491dceeef421a1c8c701ca387f5e665423d4ec2dc00fe6fe0b,97867,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,transcripts/keith-plk.tkeith_complete_gestaltview_system.md.txt,52e43eabc5607560e7ba2fa747ad5c9067e4e3297b4b8f14c72d6adb41e8e4d4,29671,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,transcripts/Sep-22-05-00-AM(transcript).md.txt,2d59662742cb715484327150ab1d39734622c712a1d292ef5ca90392773821b1,76658,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,transcripts/Oct-22-02-06-AM-(Transcript About Timeline).csv.txt,d716a31a7267ee2398d677bfbf398f500e6a277b925389d98b62a852c9da99f7,66297,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/README-BrainSparks.md (1).txt,b1845d32ccdaf0978a90e3eaf9daf8bff337419846156dfe48041a4ace61f622,13234,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/user.txt,ced1f81e32d34e5b28e99ecbd60ce406de679c275b680a65c4cc4c6759480d67,2732,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/MusicalDNAVisualizer.txt,146d58c80e09d3086a829ffef78211b4d3246d0251342872f2cbb316c84b5a24,5824,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/profile_schema (1) (1) (1).txt,d9d35260e3b56be7476ebe9808f0e0be00021d9c5e114fad35c4a98a45c2ea98,107289,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/ConsciousnessTracker.txt,ac98ea041378a21d79dab0672d0377bcd37b1891f9e828b5637eb7e662b9060e,9670,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/GestaltView_v3.0 (1).txt,d1bd3f821d00b5fb2924a196b6caf0b6545413ca5140edf9ce92e037003c3b01,135991,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/style.txt,549c8662bc43da9eec60f41e25218fe104d963e76373beb5c5885a4bfb8a5fc2,34892,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/# gestaltview_enterprise.py_# © 2025 Keith Soyka - GestaltView Enterprise Edition_ (1) (1).txt,877cac971b5b94ca74cb03f9b36357e974894781715e973cf72ba70d33cd2003,36710,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/GestaltView_Optimized_Platform.md (1) (1) (1).txt,33d1f821161d17a7d19c6b7572f168d8adfd7764c75beba55177ce9d02a46a2e,39437,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/ai_orchestrator.txt,5a576b92ca93f62f70b55e2bddf70a9f28c78515a8faec9f14bd1588c3798cd2,10629,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/musical_dna_processor.txt,92d353b05384f2d2e467cd848a314d360ecbf93575b4396fe9e21a8adea43150,16704,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/ProfileDashboard.txt,9ff882ec8a1abc20693aa4fa8a59532b2f27acaf8e7451131724ffa949808961,12789,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/gestaltview-complete-ecosystem-analysis.txt,f009c5573a6e31eaf0152f110eec615be49f89410bd845e2eaaea868d816fce9,9947,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/gestaltview-enterprise (1) (1).txt,f9ede19b0c7ca214decc95caa4829876dd385e040d4f0a75b4c20cdd873e1d68,46935,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/alzheimers-database-schema.txt,76dcb2250a852bd42e90dcedb770fcb4910eacf567b337db15c596885d834e7a,19346,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/musical_dna_routes.txt,90b3b9bebcdcaceb734e8fe97f9baf33410eef50a01943598ae3388f0f2380ad,2347,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/SpotifyIntegration.txt,8a5c5f07ef80062783a90acdd2e5e79a390220dee854814891859a57eb946464,6118,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/gestaltview-complete-ecosystem-analysis (1).txt,28c4248b7f9d2ae43a354c47fdbd3b723a6900af4bccd23051acdd8a3f15d855,10008,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/Addiction-Alzheimer-s-Legacy-Applications.md (1) (1).txt,59f6238071e7e986e4b932c9b09a729766df3b8bc34a5faf57936997eb78b1b6,11289,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/genesis-protocol.py (1).txt,324711d9d1b9b4f7dc477d17c24a4da963cefeb376cb1dbadd1f997db027a9e7,25210,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/alzheimers-web-interface (1).txt,98f02e4ef8e521c22dc36f59a09b5d2274cab0b964d9cd85303376d6f3190c40,38492,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/profile_features (1) (1) (1).txt,2388fce4052a789f8604e01c52bc652f75acbe8f07b2ccbee5826b5cbaf98cca,261440,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/mobile-adhd.txt,29cec6d48b55f7687774328c4995e9ff2834a115eff73c8bfa9f89d791922c57,10750,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/Alzheimer's & Addiction Recovery (1).txt,fca3bc7adf77d3b8c13aeafb9cbd283eae394021753dcdb0b696d9496ee61063,296759,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/creation_corner_engine.txt,3a81550452588cc85e0889978de14f351a94df92da664232278caf67e45b1e8c,266,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/GestaltView_Alzheimer's_Legacy (1).txt,dea13f4fd8f65d9a1e4e4cf59c2b7344671dd948ce431e9934f4481231232f2b,145948,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/gestaltview_process_flow (1) (1) (1).txt,2c43f098c9098e59e1a85e639cef53ba5cf2c82b2365bbf6e8274c272ff64b59,244760,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/neural-aurora-theme.py (1).txt,66a6ada15ab345a1e858b4dc3858183eed9805da48acc50de4bb2bdabeaf857c,23629,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/v6.23_gestaltview.ipynb.md (1) (1).txt,fbf883bf49604c038482c0791e2f74d7f6ec32c1de5c2a1620fed0522ea1d1cb,28376,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/GestaltView_ADHD_MVP_v2.0.txt,281ac7f079ee8baaaacfa884fbc608c1115dea24d854029707eaf5129a81838f,25377,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/gestaltview_comprehensive_analysis (1).txt,ac482f4996b23fbee2fa4ab43775f8d400f608009d3bf7f2c9770a8bc9835c75,4853,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/When-I-Know-My-Path-Of-Struggle-Was-Worth-It-Musical-DNA.md (1) (1).txt,4bb2643ec6415a0438176a98eaaf2a99f2ce1754e18acfd325e7125943b9d2c2,11990,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/GestaltView AI Brain Logic File.txt,7334492ad5355326691f0b98a1dca16d9cc59d385e26dc5dedcfb2f8f5db4c95,10910,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/session.txt,2c0e5413dcef088ff5d0bd2613142bb7b582bb64e6f35e500da2620a11141fc6,3608,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/Addiction_&_Alzheimer's (1).txt,03a84ecaf2e06e557d0c6485c346f87fd8dbd447a2326304c81037058d74b670,281112,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/MusicalDNADemo.txt,da404ee81f8b99120f6e51a85c082779e46777b4f06782b01fc4bed60075baf4,15419,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/musicalDnaService.txt,0a4a52df66428d556f76f179bf4bf71b6219dc561aa5269023713464e70646c2,8391,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/ChatInterface.txt,2c8b98649183b3db6b30bfc95bf285b89cdc7a1b8159f8b25f26aa46a1cd0f1e,12196,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/brain-sparks-core.py (1).txt,fb614e0ce22261eb3cba06e805110e5e4ccb902f2f20781acd76b9e160354b8b,35869,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/multi_modal_processor.txt,1f39741c404f67f2f6d34060501dc8a1534d8b7171aed81a002892788c409744,845,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/AlzheimersLegacyExhibit (1).txt,0dbe1a9afba5c25b34df56ababafbcc5cd1545bd1f085d549fca3f24302f1c93,26315,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/Billy (1).txt,c61326f88342c16bad313369a49ab2efc16134eb63e68941c2e14fb87d6dca06,29773,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/alzheimers_legacy_routes.txt,69e8f075c255c4ff7065e9f2450dce0b7d23f161ab6447d97f440da7e89cf3d3,2139,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/File Collection- GestaltView Project- (1) (1) (1).txt,5040d908e998b95baf61723d62aba6bc295142d6f50ab39e03cb7c58c51e51dc,140196,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/Founder-as-Algorithm_ Keith Soyka's Proprietary GestaltView Core.txt,6fd241d7687518e455369b8bff8674a729bf193c32feb02b0e38dfb8c8d33df6,5682,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/gestaltview_architecture (1).png (1).txt,dff764c433df7e48fab95b7b607a20b61bd7000016ade0b3fb86f0f81ca40bd0,194949,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/keith_personal_gestaltview_ai.txt,a1f5831b2b1c6f6e0e688c3949db1583e94ace02dd778e0499e8185e248865d1,23330,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/adhd-friendly.txt,9caf03ae12d7e5e50c5bb036ba4977f92b8783c32f6171db1b5b80e7c3260a07,1128,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/gestaltv1ew.ipynb.txt,ede360c7d0d32d696510d976d2fc78593fac6fb9cea89fea3605385f090b6524,2605140,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/GestaltView_Platform_8_27_25.pdf,e7bb227d269932778e8b9eeb072d72fe7a516e8cc28ec7bab351858556b0e0ef,3108890,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/GestaltView_v3.0.pdf,6f5dbba2201ab5fddc5a85d2405240c0c52e013fe4990bae50cacf1ff1a54b2e,341840,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/GestaltView_Python_12_28_25.txt,b0d319839071f0e37b18e27e99c4e4915b865122d5c9f5871b31f5982ea91ed0,3077877,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/GestaltView Jupyter Notebook August 29th 2025 🔐©️ Keith Soyka.gestaltview.ipynb.txt,4f4c2206fa8d9724aa900fe0248191ad815fa80a6b78fdfa1cc66eed034f05d5,2573325,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/GestaltViewADHDMVP.ipynb (7).txt,63a3601b98e61177c8908334ae6408b06c1079f1e876256512532894a6688913,2609767,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/GSVW_Projects.txt,641783a238e5708d9cf3e28448ea7c373783702f671e0ec365218092b0edb035,14009927,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/EnhancedMainInterface.txt,31cfb5e83e5b7719201fe3e8f521b294268bd1ecd4459601f27d228a198d9f80,17153,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/The Journey Since May 5th_ A Testament to Human Po.txt,e6745a30abea152ca8968b43d782b64aa3f2081228b8bbaf7d0087ad705261fc,7678,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/GestaltView Prototype V6 Alzheimer's and Legacy Edition ©️ Keith Soyka 2025.pdf.txt,634bf2bf84918f725f46670d890940c9953e62f540d688ab7cc9a111d28ef523,479,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/gestaltview_addiction_recovery_prototype.py_# © 2025 Keith Soyka - GestaltView Addiction Recovery Prototype_July 25th 2025 ©️🔐 Keith Soyka  (1) (1).txt,c7b60a42ed39ccbaa28d6f8c32f0029fb54eaa77e93c4edf78eb9fa30f85c040,45033,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/GestaltView_Files_(Medium)_10_6_25.txt,ace5bf2f18b9cc889853e3bed4705951d5b3b998df5b259104b9b0ae8c4b90c3,4425121,2025-12-29T04:28:08+00:00
