package,relative_path,filename,extension,size_bytes,size_mb,modified_utc
GestaltView_#3_of_#3_12_29_25,GestaltView Corpus/GestaltView Corpus #5.pdf,GestaltView Corpus #5.pdf,.pdf,20266702,19.327833,2025-12-29T04:28:02+00:00
GestaltView_#3_of_#3_12_29_25,GestaltView Corpus/GestaltView Corpus #2.pdf,GestaltView Corpus #2.pdf,.pdf,18611827,17.749621,2025-12-29T04:28:02+00:00
GestaltView_#3_of_#3_12_29_25,GestaltView Corpus/GestaltView Corpus #3.pdf,GestaltView Corpus #3.pdf,.pdf,24988906,23.831278,2025-12-29T04:28:04+00:00
GestaltView_#3_of_#3_12_29_25,GestaltView Corpus/GestaltView Corpus #4.pdf,GestaltView Corpus #4.pdf,.pdf,21613565,20.612302,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,GestaltView Corpus/Merged_Markdowns_12_28_25.txt,Merged_Markdowns_12_28_25.txt,.txt,3956217,3.772943,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,GestaltView Corpus/GestaltView Corpus #1.pdf,GestaltView Corpus #1.pdf,.pdf,1486641,1.417771,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,transcripts/Demo_Reel_Transcript.txt,Demo_Reel_Transcript.txt,.txt,47660,0.045452,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,transcripts/founders_core.md.txt,founders_core.md.txt,.txt,29132,0.027782,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,transcripts/Inside The Mind Of Keith Soyka 7_6_25.txt,Inside The Mind Of Keith Soyka 7_6_25.txt,.txt,212428,0.202587,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,transcripts/Keith-Soyka-4am-Ramblings-9-19-25(transcript).md.txt,Keith-Soyka-4am-Ramblings-9-19-25(transcript).md.txt,.txt,90868,0.086658,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,transcripts/Complete GestaltView User Profile_ Keith Soyka.txt,Complete GestaltView User Profile_ Keith Soyka.txt,.txt,538609,0.513658,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,transcripts/Oct-22-02-06-AM-(Transcript About Timeline).pdf,Oct-22-02-06-AM-(Transcript About Timeline).pdf,.pdf,182042,0.173609,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,transcripts/AI-Powered Self-Discovery and Cognitive Alignment-Copyright Notice-© 2025 Keith Soyka  (2).txt,AI-Powered Self-Discovery and Cognitive Alignment-Copyright Notice-© 2025 Keith Soyka  (2).txt,.txt,87900,0.083828,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,"transcripts/Oct 22, 02_06 AM (Transcript About Timeline).md.txt","Oct 22, 02_06 AM (Transcript About Timeline).md.txt",.txt,11849,0.0113,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,transcripts/GestaltView Genesis Protocol Layer.txt,GestaltView Genesis Protocol Layer.txt,.txt,423946,0.404306,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,transcripts/9_18_25_Keith_Soyka_Transcript.md.txt,9_18_25_Keith_Soyka_Transcript.md.txt,.txt,101217,0.096528,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,transcripts/Keith_Soyka_And_The_Genesis_Of_GestaltView(transcript).txt,Keith_Soyka_And_The_Genesis_Of_GestaltView(transcript).txt,.txt,374009,0.356683,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,"transcripts/The Why, The What, The How, The Where, and The When of Me and GestaltView-©️ Keith Soyka 2025 (1).txt","The Why, The What, The How, The Where, and The When of Me and GestaltView-©️ Keith Soyka 2025 (1).txt",.txt,139498,0.133036,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,transcripts/Oct-22-02-06-AM-(Transcript About Timeline).json.txt,Oct-22-02-06-AM-(Transcript About Timeline).json.txt,.txt,97867,0.093333,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,transcripts/keith-plk.tkeith_complete_gestaltview_system.md.txt,keith-plk.tkeith_complete_gestaltview_system.md.txt,.txt,29671,0.028296,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,transcripts/Sep-22-05-00-AM(transcript).md.txt,Sep-22-05-00-AM(transcript).md.txt,.txt,76658,0.073107,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,transcripts/Oct-22-02-06-AM-(Transcript About Timeline).csv.txt,Oct-22-02-06-AM-(Transcript About Timeline).csv.txt,.txt,66297,0.063226,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/README-BrainSparks.md (1).txt,README-BrainSparks.md (1).txt,.txt,13234,0.012621,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/user.txt,user.txt,.txt,2732,0.002605,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/MusicalDNAVisualizer.txt,MusicalDNAVisualizer.txt,.txt,5824,0.005554,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/profile_schema (1) (1) (1).txt,profile_schema (1) (1) (1).txt,.txt,107289,0.102319,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/ConsciousnessTracker.txt,ConsciousnessTracker.txt,.txt,9670,0.009222,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/GestaltView_v3.0 (1).txt,GestaltView_v3.0 (1).txt,.txt,135991,0.129691,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/style.txt,style.txt,.txt,34892,0.033276,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/# gestaltview_enterprise.py_# © 2025 Keith Soyka - GestaltView Enterprise Edition_ (1) (1).txt,# gestaltview_enterprise.py_# © 2025 Keith Soyka - GestaltView Enterprise Edition_ (1) (1).txt,.txt,36710,0.035009,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/GestaltView_Optimized_Platform.md (1) (1) (1).txt,GestaltView_Optimized_Platform.md (1) (1) (1).txt,.txt,39437,0.03761,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/ai_orchestrator.txt,ai_orchestrator.txt,.txt,10629,0.010137,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/musical_dna_processor.txt,musical_dna_processor.txt,.txt,16704,0.01593,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/ProfileDashboard.txt,ProfileDashboard.txt,.txt,12789,0.012197,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/gestaltview-complete-ecosystem-analysis.txt,gestaltview-complete-ecosystem-analysis.txt,.txt,9947,0.009486,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/gestaltview-enterprise (1) (1).txt,gestaltview-enterprise (1) (1).txt,.txt,46935,0.044761,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/alzheimers-database-schema.txt,alzheimers-database-schema.txt,.txt,19346,0.01845,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/musical_dna_routes.txt,musical_dna_routes.txt,.txt,2347,0.002238,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/SpotifyIntegration.txt,SpotifyIntegration.txt,.txt,6118,0.005835,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/gestaltview-complete-ecosystem-analysis (1).txt,gestaltview-complete-ecosystem-analysis (1).txt,.txt,10008,0.009544,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/Addiction-Alzheimer-s-Legacy-Applications.md (1) (1).txt,Addiction-Alzheimer-s-Legacy-Applications.md (1) (1).txt,.txt,11289,0.010766,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/genesis-protocol.py (1).txt,genesis-protocol.py (1).txt,.txt,25210,0.024042,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/alzheimers-web-interface (1).txt,alzheimers-web-interface (1).txt,.txt,38492,0.036709,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/profile_features (1) (1) (1).txt,profile_features (1) (1) (1).txt,.txt,261440,0.249329,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/mobile-adhd.txt,mobile-adhd.txt,.txt,10750,0.010252,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/Alzheimer's & Addiction Recovery (1).txt,Alzheimer's & Addiction Recovery (1).txt,.txt,296759,0.283011,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/creation_corner_engine.txt,creation_corner_engine.txt,.txt,266,0.000254,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/GestaltView_Alzheimer's_Legacy (1).txt,GestaltView_Alzheimer's_Legacy (1).txt,.txt,145948,0.139187,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/gestaltview_process_flow (1) (1) (1).txt,gestaltview_process_flow (1) (1) (1).txt,.txt,244760,0.233421,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/neural-aurora-theme.py (1).txt,neural-aurora-theme.py (1).txt,.txt,23629,0.022534,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/v6.23_gestaltview.ipynb.md (1) (1).txt,v6.23_gestaltview.ipynb.md (1) (1).txt,.txt,28376,0.027061,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/GestaltView_ADHD_MVP_v2.0.txt,GestaltView_ADHD_MVP_v2.0.txt,.txt,25377,0.024201,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/gestaltview_comprehensive_analysis (1).txt,gestaltview_comprehensive_analysis (1).txt,.txt,4853,0.004628,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/When-I-Know-My-Path-Of-Struggle-Was-Worth-It-Musical-DNA.md (1) (1).txt,When-I-Know-My-Path-Of-Struggle-Was-Worth-It-Musical-DNA.md (1) (1).txt,.txt,11990,0.011435,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/GestaltView AI Brain Logic File.txt,GestaltView AI Brain Logic File.txt,.txt,10910,0.010405,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/session.txt,session.txt,.txt,3608,0.003441,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/Addiction_&_Alzheimer's (1).txt,Addiction_&_Alzheimer's (1).txt,.txt,281112,0.268089,2025-12-29T04:28:06+00:00
GestaltView_#3_of_#3_12_29_25,code/MusicalDNADemo.txt,MusicalDNADemo.txt,.txt,15419,0.014705,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/musicalDnaService.txt,musicalDnaService.txt,.txt,8391,0.008002,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/ChatInterface.txt,ChatInterface.txt,.txt,12196,0.011631,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/brain-sparks-core.py (1).txt,brain-sparks-core.py (1).txt,.txt,35869,0.034207,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/multi_modal_processor.txt,multi_modal_processor.txt,.txt,845,0.000806,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/AlzheimersLegacyExhibit (1).txt,AlzheimersLegacyExhibit (1).txt,.txt,26315,0.025096,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/Billy (1).txt,Billy (1).txt,.txt,29773,0.028394,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/alzheimers_legacy_routes.txt,alzheimers_legacy_routes.txt,.txt,2139,0.00204,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/File Collection- GestaltView Project- (1) (1) (1).txt,File Collection- GestaltView Project- (1) (1) (1).txt,.txt,140196,0.133701,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/Founder-as-Algorithm_ Keith Soyka's Proprietary GestaltView Core.txt,Founder-as-Algorithm_ Keith Soyka's Proprietary GestaltView Core.txt,.txt,5682,0.005419,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/gestaltview_architecture (1).png (1).txt,gestaltview_architecture (1).png (1).txt,.txt,194949,0.185918,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/keith_personal_gestaltview_ai.txt,keith_personal_gestaltview_ai.txt,.txt,23330,0.022249,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/adhd-friendly.txt,adhd-friendly.txt,.txt,1128,0.001076,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/gestaltv1ew.ipynb.txt,gestaltv1ew.ipynb.txt,.txt,2605140,2.484455,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/GestaltView_Platform_8_27_25.pdf,GestaltView_Platform_8_27_25.pdf,.pdf,3108890,2.964869,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/GestaltView_v3.0.pdf,GestaltView_v3.0.pdf,.pdf,341840,0.326004,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/GestaltView_Python_12_28_25.txt,GestaltView_Python_12_28_25.txt,.txt,3077877,2.935292,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/GestaltView Jupyter Notebook August 29th 2025 🔐©️ Keith Soyka.gestaltview.ipynb.txt,GestaltView Jupyter Notebook August 29th 2025 🔐©️ Keith Soyka.gestaltview.ipynb.txt,.txt,2573325,2.454114,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/GestaltViewADHDMVP.ipynb (7).txt,GestaltViewADHDMVP.ipynb (7).txt,.txt,2609767,2.488868,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/GSVW_Projects.txt,GSVW_Projects.txt,.txt,14009927,13.360908,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/EnhancedMainInterface.txt,EnhancedMainInterface.txt,.txt,17153,0.016358,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/The Journey Since May 5th_ A Testament to Human Po.txt,The Journey Since May 5th_ A Testament to Human Po.txt,.txt,7678,0.007322,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/GestaltView Prototype V6 Alzheimer's and Legacy Edition ©️ Keith Soyka 2025.pdf.txt,GestaltView Prototype V6 Alzheimer's and Legacy Edition ©️ Keith Soyka 2025.pdf.txt,.txt,479,0.000457,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/gestaltview_addiction_recovery_prototype.py_# © 2025 Keith Soyka - GestaltView Addiction Recovery Prototype_July 25th 2025 ©️🔐 Keith Soyka  (1) (1).txt,gestaltview_addiction_recovery_prototype.py_# © 2025 Keith Soyka - GestaltView Addiction Recovery Prototype_July 25th 2025 ©️🔐 Keith Soyka  (1) (1).txt,.txt,45033,0.042947,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/GestaltView_Files_(Medium)_10_6_25.txt,GestaltView_Files_(Medium)_10_6_25.txt,.txt,4425121,4.220124,2025-12-29T04:28:08+00:00
GestaltView_#3_of_#3_12_29_25,code/v6.23_gestaltview.ipynb.txt,v6.23_gestaltview.ipynb.txt,.txt,3219794,3.070635,2025-12-29T04:28:10+00:00
GestaltView_#3_of_#3_12_29_25,PDFs/I have a lot here and I'm sorry. But if you could (1).pdf,I have a lot here and I'm sorry. But if you could (1).pdf,.pdf,6366773,6.071828,2025-12-29T04:28:10+00:00
GestaltView_#3_of_#3_12_29_25,PDFs/GestaltView Knowledge Partner Analysis.pdf,GestaltView Knowledge Partner Analysis.pdf,.pdf,208150,0.198507,2025-12-29T04:28:10+00:00
GestaltView_#3_of_#3_12_29_25,PDFs/GestaltView Project Analysis Request.pdf,GestaltView Project Analysis Request.pdf,.pdf,221564,0.2113,2025-12-29T04:28:10+00:00
GestaltView_#3_of_#3_12_29_25,PDFs/GestaltView- Alzheimer’s & Legacy Edition — Enhanced Prototype (2025) Prototype v7-June 8th 2025-©️ Keith Soyka 2025(1) (1).pdf,GestaltView- Alzheimer’s & Legacy Edition — Enhanced Prototype (2025) Prototype v7-June 8th 2025-©️ Keith Soyka 2025(1) (1).pdf,.pdf,199182,0.189955,2025-12-29T04:28:10+00:00
GestaltView_#3_of_#3_12_29_25,PDFs/I've achieved symbiosis I'm pretty sure. Multiple.pdf,I've achieved symbiosis I'm pretty sure. Multiple.pdf,.pdf,353428,0.337055,2025-12-29T04:28:10+00:00
GestaltView_#3_of_#3_12_29_25,PDFs/God Mode.pdf,God Mode.pdf,.pdf,5804618,5.535715,2025-12-29T04:28:10+00:00
GestaltView_#3_of_#3_12_29_25,PDFs/I have a lot here and I'm sorry. But if you could.pdf,I have a lot here and I'm sorry. But if you could.pdf,.pdf,3963116,3.779522,2025-12-29T04:28:10+00:00
GestaltView_#3_of_#3_12_29_25,PDFs/Rapid Prototype Engine.pdf,Rapid Prototype Engine.pdf,.pdf,4125711,3.934585,2025-12-29T04:28:10+00:00
GestaltView_#3_of_#3_12_29_25,PDFs/Analyzing Creator's Profile and Academic Labels.pdf,Analyzing Creator's Profile and Academic Labels.pdf,.pdf,197025,0.187898,2025-12-29T04:28:10+00:00
GestaltView_#3_of_#3_12_29_25,PDFs/hello there 👋.pdf,hello there 👋.pdf,.pdf,5395724,5.145763,2025-12-29T04:28:10+00:00
GestaltView_#3_of_#3_12_29_25,PDFs/Seven Month Emergence Of GestaltView .pdf,Seven Month Emergence Of GestaltView .pdf,.pdf,103550,0.098753,2025-12-29T04:28:12+00:00
GestaltView_#3_of_#3_12_29_25,PDFs/GestaltView Framework Deep Dive.pdf,GestaltView Framework Deep Dive.pdf,.pdf,279007,0.266082,2025-12-29T04:28:12+00:00
GestaltView_#3_of_#3_12_29_25,PDFs/I realized that imposter syndrome early on serves.pdf,I realized that imposter syndrome early on serves.pdf,.pdf,1505295,1.435561,2025-12-29T04:28:12+00:00
Keith_Soyka_Code_&_Context,Context_Files.txt,Context_Files.txt,.txt,1348374,1.28591,2026-03-08T13:22:16+00:00
Keith_Soyka_Code_&_Context,custom_ai_collaborator.py.txt,custom_ai_collaborator.py.txt,.txt,12602,0.012018,2026-03-08T13:22:16+00:00
Keith_Soyka_Code_&_Context,LoadingSpinner.tsx,LoadingSpinner.tsx,.tsx,2636,0.002514,2026-03-08T13:22:16+00:00
Keith_Soyka_Code_&_Context,Prisma_Schema.txt,Prisma_Schema.txt,.txt,97985,0.093446,2026-03-08T13:22:16+00:00
